"ID","MonthlyIncome"
871,5909.60109628121
872,2183.33147333267
873,14281.7888244329
874,2244.67005617044
875,1926.2118330994
876,7100.87779153479
877,5670.88954425553
878,2025.39132397154
879,1948.38754062991
880,14953.4394169705
881,11193.4270601049
882,2443.09504811168
883,6127.35957871154
884,6042.91988606177
885,6535.04946919476
886,5991.39685438524
887,5827.70600883948
888,6239.09750844866
889,6036.87195422345
890,2207.55626792186
891,5985.34892254693
892,9595.08826481624
893,9660.92158676273
894,6006.92978259037
895,11051.2181214446
896,9972.20819321827
897,10111.046077547
898,14126.0960446262
899,5974.40968660851
900,2419.99393829968
901,2419.99393829968
902,6618.36547706735
903,6442.71104014369
904,2691.72110445659
905,14869.9251266022
906,5930.05827154748
907,10719.8048945172
908,6112.22321549779
909,2102.06455251875
910,2215.85156931454
911,18286.0318278724
912,2503.30994617227
913,2487.97530046283
914,10001.9520823557
915,6262.19861826067
916,5798.68923948789
917,2231.38449751967
918,5952.0356965823
919,2077.83975792956
920,2932.97726169031
921,2207.35798542617
922,2048.29415128786
923,6267.71771280887
924,6354.404775013
925,15019.7682570664
926,2268.16773097382
927,5961.32241045343
928,10152.5223326056
929,1985.83188367291
930,2315.09707038364
931,6330.77482791088
932,9820.91082318253
933,9851.58011460141
934,2336.4796479314
935,2169.84763218621
936,2297.11849012846
937,10568.3092419858
938,10528.9480841829
939,6320.03387446815
940,2185.18227789565
941,3044.91347392311
942,9903.10314627794
943,10586.7833403904
944,6006.73150009468
945,2009.85839576641
946,6082.4793263604
947,2123.84369505789
948,1894.02229191195
949,2446.36677310553
950,5835.07590795067
951,2509.02732321616
952,5729.98075753894
953,6323.53720109843
954,2373.99000117135
955,6179.08089288376
956,9978.45440755228
957,11896.1435090528
958,1976.80946249443
959,10563.0873830913
960,19260.8720079685
961,2039.99884989518
962,5708.2016149998
963,6465.21730246862
964,6294.38815944811
965,2131.61015916045
966,18436.4037956267
967,1832.88199156988
968,10257.7497553161
969,15355.6102129055
970,2137.32753620435
971,5802.25857631512
972,6080.62852179742
973,2367.34722184597
974,2215.85156931454
975,5844.69317661621
976,2098.8917806829
977,6965.11334970418
978,2037.75148034082
979,9723.05329958325
980,18556.2387442608
981,2021.2931498542
982,10354.5496043351
983,2419.99393829968
984,2426.43843512937
985,6261.07493348348
986,2449.73782743707
987,2185.18227789565
988,6073.78745997634
989,10217.1326404372
990,2108.70733184413
991,6498.13396344187
992,2124.24026004927
993,6142.16538713087
994,6195.14265837901
995,5959.80216068487
996,6279.45007873004
997,2093.37268613469
998,14865.9262818226
999,9896.65864944825
1000,1787.60517422736
1001,6776.50390892417
1002,6164.47336696012
1003,6173.76008083125
1004,6974.00349858392
1005,2251.7094004872
1006,6391.51856326158
1007,2148.06848964708
1008,6092.59211317532
1009,18292.6746071978
1010,6376.58048254352
1011,10610.9421247826
1012,6609.67361068329
1013,6105.05159888229
1014,6074.18402496772
1015,6038.82171194443
1016,2172.59051988994
1017,2330.62999858877
1018,9911.795012662
1019,10106.8489502717
1020,2086.53162431362
1021,6045.56382060751
1022,6346.44002841475
1023,5949.98660952363
1024,11051.9452412304
1025,14184.0635731324
1026,18162.9580972055
1027,6467.06810703161
1028,5983.82867277837
1029,6111.82665050641
1030,10863.5340829461
1031,6006.73150009468
1032,2330.62999858877
1033,9662.04527153991
1034,2215.85156931454
1035,6074.18402496772
1036,2017.62485986898
1037,5654.23293127322
1038,10344.7340531739
1039,9946.66143135621
1040,6159.44979056129
1041,1885.52870802359
1042,2435.32858400912
1043,10001.5555173643
1044,6431.87113354297
1045,2016.89774008318
1046,2215.85156931454
1047,6090.24579046297
1048,9865.98935802936
1049,2024.86248668143
1050,6011.3251923614
1051,11347.3683646864
1052,2009.52784097199
1053,6186.64907449064
1054,2312.65141833359
1055,2419.99393829968
1056,2404.65929259024
1057,6278.4586662516
1058,14039.6072649177
1059,6633.36956798237
1060,2299.56414217851
1061,6272.60901690897
1062,6223.96114523491
1063,6392.11341074865
1064,2139.37662326302
1065,6565.91704310933
1066,2244.67005617044
1067,3371.73300858378
1068,18587.8994481581
1069,5937.82473565004
1070,2192.02333971673
1071,2334.43056087272
1072,5939.74155040998
1073,1856.71022116769
1074,5898.86014283848
1075,6125.11220915718
1076,14662.1804778288
1077,18263.1290005561
1078,6138.59605030364
1079,6098.21053706122
1080,6612.41649838702
1081,2555.95666262598
1082,2359.5807577434
1083,2093.174403639
1084,6348.35684317469
1085,9454.00301093311
1086,10168.9806630922
1087,6096.69028729266
1088,2480.20883636026
1089,2313.77510311077
1090,5899.58726262428
1091,5786.92393060568
1092,6013.24200712133
1093,9698.233657507
1094,6027.78352284802
1095,5916.04559311091
1096,6233.77669639614
1097,3183.12356780377
1098,2327.98606404303
1099,2254.88217232305
1100,5930.65311903454
1101,17878.3419373892
1102,6218.4420506867
1103,6437.91906538128
1104,11639.7509886053
1105,2539.49833213936
1106,2493.49439501103
1107,2078.63288791232
1108,6429.95431878303
1109,5633.57747351126
1110,5776.91009694875
1111,6241.0143232086
1112,10304.1502574358
1113,9976.80188548498
1114,6806.24779806156
1115,10262.4094577797
1116,2296.39137034265
1117,6896.00830276384
1118,6249.30962460127
1119,10922.6252962295
1120,2131.08132187034
1121,10538.8625885021
1122,15091.2529458598
1123,6128.8798284801
1124,14314.5072029105
1125,1992.4746629983
1126,2215.85156931454
1127,2343.32070975247
1128,6088.19670340429
1129,14555.3667951528
1130,2252.23823777731
1131,10054.0039513223
1132,14439.134126307
1133,6414.61967307359
1134,2223.81631591279
1135,2464.14707086502
1136,2375.11368594853
1137,2984.89685835822
1138,6128.8798284801
1139,9935.49096996107
1140,13390.6612172008
1141,5731.30272481181
1142,6322.61179881694
1143,10901.0444361861
1144,5960.72756296636
1145,6701.87976743563
1146,6062.84822403793
1147,6050.68635016434
1148,2253.36192255449
1149,2231.38449751967
1150,6121.31164687323
1151,2147.14308736558
1152,6399.08674486846
1153,6758.19477387456
1154,2047.17046651068
1155,6004.55014073728
1156,14712.9103795226
1157,2367.34722184597
1158,6874.95628001051
1159,2222.69263113561
1160,6209.55190180696
1161,2297.31677262414
1162,10273.0844010255
1163,2002.1579418608
1164,10288.6173292306
1165,2208.87823519473
1166,1979.38738684322
1167,10193.4366831381
1168,5868.9179712054
1169,2298.44045740133
1170,1963.52390384366
